content,rating,created_at,thank_count
<b>t4j kh0an trừ tiền 2 lần 😭 💀<div>,1,2025-08-16 00:39:29,18
<b>thanhtoan xog mà hđ k thấy j hết 😑 phèn 😢<b>,3,2025-08-04 00:39:29,48
t4j kh0an trừ tiền 2 lần 😭 hết nấc 🔥,3,2025-07-02 00:39:29,39
thanhtoan xog mà hđ k thấy j hết 😑 hết nấc 😂,2,2025-07-10 00:39:29,32
ko th4y hoá đơn gửi về mail 😒,4,2025-08-05 00:39:29,45
ko th4y hoá đơn gửi về mail 😒 chill 👍 fnjskf,4,2025-08-26 00:39:29,23
"<b>bill k rõ ràng, chưa đủ wow luôn 😢<span>",4,2025-08-09 00:39:29,45
<i>ko th4y hoá đơn gửi về mail 😒 ảo ma</div>,5,2025-08-14 00:39:29,21
<div>thanhtoan xog mà hđ k thấy j hết 😑 căng đét 🔥</b>,4,2025-07-26 00:39:29,20
"bill k rõ ràng, chưa đủ wow luôn hết nấc",3,2025-07-08 00:39:29,29
"quẹt thẻ mà báo lỗi, phèn vc phèn ✨ fnjskf",1,2025-08-09 00:39:29,11
"quẹt thẻ mà báo lỗi, phèn vc hết nấc 👎",1,2025-08-03 00:39:29,0
<i>bill hiển thị ảo ma ghê 😂</b>,5,2025-06-30 00:39:29,40
"quẹt thẻ mà báo lỗi, phèn vc",3,2025-07-15 00:39:29,40
bill hiển thị ảo ma ghê 😂 ngầu lòi 👍,1,2025-07-16 00:39:29,17
ko th4y hoá đơn gửi về mail 😒,2,2025-07-02 00:39:29,30
thanhtoan xog mà hđ k thấy j hết 😑 phèn 😤,1,2025-06-29 00:39:29,5
"quẹt thẻ mà báo lỗi, phèn vc 😂",1,2025-06-29 00:39:29,36
"qr c0de ko scan đc, hơi lú 👍",3,2025-07-01 00:39:29,49
"<div>quẹt thẻ mà báo lỗi, phèn vc ngầu lòi 💀</b>",3,2025-08-14 00:39:29,25
ko th4y hoá đơn gửi về mail 😒 hết nấc 😢,3,2025-07-07 00:39:29,31
<br>bill hiển thị ảo ma ghê 😂 phèn<div>,4,2025-07-21 00:39:29,11
đợi in hđ lâu vch 👎,1,2025-08-23 00:39:29,38
h0á đơn gửi chậm vcl 😤 hết nấc 💀,3,2025-07-09 00:39:29,31
<i>thanhtoan xog mà hđ k thấy j hết 😑 phèn 😡<b> fnjskf,3,2025-08-19 00:39:29,22
<br>đợi in hđ lâu vch 👎 hết nấc<span>,4,2025-08-05 00:39:29,16
đợi in hđ lâu vch 👎 😢,1,2025-08-14 00:39:29,44
<i>thanhtoan xog mà hđ k thấy j hết 😑 🔥<i>,1,2025-07-21 00:39:29,11
đợi in hđ lâu vch 👎 hơi lú 😂,1,2025-08-04 00:39:29,37
"quẹt thẻ mà báo lỗi, phèn vc chill 😤",1,2025-07-12 00:39:29,36
h0á đơn gửi chậm vcl 😤 chill 👎,1,2025-07-05 00:39:29,34
đợi in hđ lâu vch 👎 xịn xò,4,2025-08-22 00:39:29,21
"</b>quẹt thẻ mà báo lỗi, phèn vc 👎<span>",2,2025-07-16 00:39:29,9
<i>h0á đơn gửi chậm vcl 😤 hết nấc<b> fnjskf,4,2025-07-05 00:39:29,0
h0á đơn gửi chậm vcl 😤 👎 fnjskf,5,2025-07-03 00:39:29,30
<span>t4j kh0an trừ tiền 2 lần 😭 chill</i>,1,2025-08-09 00:39:29,34
bill hiển thị ảo ma ghê 😂 💀,3,2025-07-23 00:39:29,10
th4nh t0án l0i fnjskf 😡 💀,2,2025-07-13 00:39:29,37
<i>đợi in hđ lâu vch 👎 💔<br>,4,2025-08-16 00:39:29,33
<br>bill hiển thị ảo ma ghê 😂 😢<i>,2,2025-07-02 00:39:29,36
bill hiển thị ảo ma ghê 😂 ngầu lòi ✨,4,2025-08-11 00:39:29,45
"quẹt thẻ mà báo lỗi, phèn vc",1,2025-07-31 00:39:29,21
</div>đợi in hđ lâu vch 👎 👎</span> fnjskf,5,2025-08-08 00:39:29,43
th4nh t0án l0i fnjskf 😡 chill 💔,4,2025-07-21 00:39:29,22
"bill k rõ ràng, chưa đủ wow luôn 🔥",2,2025-07-19 00:39:29,13
th4nh t0án l0i fnjskf 😡 💀,2,2025-08-15 00:39:29,13
</span>thanhtoan xog mà hđ k thấy j hết 😑<b>,1,2025-08-21 00:39:29,45
ko th4y hoá đơn gửi về mail 😒 ngầu lòi 👍,2,2025-08-24 00:39:29,38
t4j kh0an trừ tiền 2 lần 😭 xịn xò ✨,1,2025-07-10 00:39:29,28
"bill k rõ ràng, chưa đủ wow luôn ảo ma",3,2025-08-10 00:39:29,16
"bill k rõ ràng, chưa đủ wow luôn 👎",1,2025-07-08 00:39:29,2
<br>t4j kh0an trừ tiền 2 lần 😭 ảo ma 😂</i>,5,2025-08-19 00:39:29,50
bill hiển thị ảo ma ghê 😂 xịn xò,2,2025-07-07 00:39:29,41
thanhtoan xog mà hđ k thấy j hết 😑 căng đét fnjskf,5,2025-07-11 00:39:29,46
bill hiển thị ảo ma ghê 😂 👎,1,2025-07-15 00:39:29,4
"bill k rõ ràng, chưa đủ wow luôn 😡",2,2025-08-22 00:39:29,47
th4nh t0án l0i fnjskf 😡 😢,5,2025-07-14 00:39:29,13
đợi in hđ lâu vch 👎,1,2025-07-09 00:39:29,34
"<br>bill k rõ ràng, chưa đủ wow luôn 😢</i> fnjskf",5,2025-07-02 00:39:29,9
ko th4y hoá đơn gửi về mail 😒 phèn ✨,4,2025-06-30 00:39:29,34
"quẹt thẻ mà báo lỗi, phèn vc chill ✨ fnjskf",1,2025-07-09 00:39:29,39
"qr c0de ko scan đc, hơi lú ảo ma 😢",3,2025-07-03 00:39:29,32
t4j kh0an trừ tiền 2 lần 😭,5,2025-06-28 00:39:29,7
h0á đơn gửi chậm vcl 😤 căng đét 😂,4,2025-08-05 00:39:29,11
"</div>bill k rõ ràng, chưa đủ wow luôn chill 💀<br>",5,2025-07-04 00:39:29,36
h0á đơn gửi chậm vcl 😤 căng đét fnjskf,2,2025-07-21 00:39:29,9
h0á đơn gửi chậm vcl 😤 hết nấc 😢,5,2025-08-26 00:39:29,3
"<b>bill k rõ ràng, chưa đủ wow luôn 😂<span>",4,2025-08-07 00:39:29,40
đợi in hđ lâu vch 👎,3,2025-08-13 00:39:29,38
"qr c0de ko scan đc, hơi lú 💔 fnjskf",4,2025-08-19 00:39:29,33
</b>thanhtoan xog mà hđ k thấy j hết 😑 😡<span>,5,2025-07-14 00:39:29,4
h0á đơn gửi chậm vcl 😤,5,2025-07-01 00:39:29,7
đợi in hđ lâu vch 👎 ngầu lòi 🔥,1,2025-07-12 00:39:29,7
t4j kh0an trừ tiền 2 lần 😭 💔,2,2025-08-04 00:39:29,41
ko th4y hoá đơn gửi về mail 😒 😡,1,2025-08-11 00:39:29,49
ko th4y hoá đơn gửi về mail 😒 căng đét 😡,4,2025-08-23 00:39:29,39
bill hiển thị ảo ma ghê 😂 xịn xò 💔,4,2025-07-18 00:39:29,10
<i>t4j kh0an trừ tiền 2 lần 😭<br>,5,2025-07-03 00:39:29,41
<span>đợi in hđ lâu vch 👎</div>,4,2025-07-26 00:39:29,23
"</span>quẹt thẻ mà báo lỗi, phèn vc<b> fnjskf",1,2025-08-22 00:39:29,31
"quẹt thẻ mà báo lỗi, phèn vc 💔",5,2025-07-06 00:39:29,0
h0á đơn gửi chậm vcl 😤,2,2025-07-11 00:39:29,26
th4nh t0án l0i fnjskf 😡,3,2025-07-27 00:39:29,31
"quẹt thẻ mà báo lỗi, phèn vc ảo ma",2,2025-08-07 00:39:29,44
"<b>qr c0de ko scan đc, hơi lú xịn xò 😤<b>",2,2025-08-03 00:39:29,27
t4j kh0an trừ tiền 2 lần 😭 xịn xò,5,2025-08-11 00:39:29,39
<b>th4nh t0án l0i fnjskf 😡 hơi lú 👎<div> fnjskf,5,2025-07-28 00:39:29,13
</b>t4j kh0an trừ tiền 2 lần 😭 😢<div>,2,2025-07-08 00:39:29,39
</span>thanhtoan xog mà hđ k thấy j hết 😑 👎</span>,5,2025-07-01 00:39:29,30
h0á đơn gửi chậm vcl 😤 hơi lú,1,2025-08-06 00:39:29,35
ko th4y hoá đơn gửi về mail 😒 😤,1,2025-07-20 00:39:29,35
đợi in hđ lâu vch 👎 phèn 👍,4,2025-08-10 00:39:29,2
"qr c0de ko scan đc, hơi lú căng đét 😢",3,2025-07-26 00:39:29,28
t4j kh0an trừ tiền 2 lần 😭 ngầu lòi 💔 fnjskf,4,2025-07-06 00:39:29,1
t4j kh0an trừ tiền 2 lần 😭 phèn,3,2025-07-03 00:39:29,2
t4j kh0an trừ tiền 2 lần 😭 😡,3,2025-07-08 00:39:29,1
<span>t4j kh0an trừ tiền 2 lần 😭<b>,2,2025-07-04 00:39:29,11
ko th4y hoá đơn gửi về mail 😒 🔥,2,2025-08-13 00:39:29,44
t4j kh0an trừ tiền 2 lần 😭 😢,3,2025-08-11 00:39:29,19
"bill k rõ ràng, chưa đủ wow luôn ảo ma",1,2025-08-14 00:39:29,28
ko th4y hoá đơn gửi về mail 😒 ngầu lòi 👍,1,2025-07-01 00:39:29,22
t4j kh0an trừ tiền 2 lần 😭 căng đét,5,2025-08-08 00:39:29,0
"quẹt thẻ mà báo lỗi, phèn vc phèn",5,2025-07-31 00:39:29,14
"</div>bill k rõ ràng, chưa đủ wow luôn căng đét ✨<span>",5,2025-08-14 00:39:29,26
th4nh t0án l0i fnjskf 😡 hết nấc ✨ fnjskf,5,2025-08-15 00:39:29,47
bill hiển thị ảo ma ghê 😂 😤,3,2025-07-26 00:39:29,10
th4nh t0án l0i fnjskf 😡 căng đét 😤,2,2025-06-29 00:39:29,31
t4j kh0an trừ tiền 2 lần 😭 chill,3,2025-08-18 00:39:29,45
thanhtoan xog mà hđ k thấy j hết 😑 ảo ma 👍,1,2025-08-09 00:39:29,20
đợi in hđ lâu vch 👎 fnjskf,2,2025-07-09 00:39:29,50
ko th4y hoá đơn gửi về mail 😒 hơi lú 😡,1,2025-08-06 00:39:29,9
thanhtoan xog mà hđ k thấy j hết 😑 💀,1,2025-07-10 00:39:29,9
ko th4y hoá đơn gửi về mail 😒 căng đét 👎,3,2025-07-29 00:39:29,38
thanhtoan xog mà hđ k thấy j hết 😑 💔,3,2025-08-11 00:39:29,30
t4j kh0an trừ tiền 2 lần 😭 ảo ma,3,2025-07-14 00:39:29,25
ko th4y hoá đơn gửi về mail 😒 ✨ fnjskf,2,2025-07-07 00:39:29,49
"<span>qr c0de ko scan đc, hơi lú hơi lú 👎<b>",2,2025-07-25 00:39:29,38
h0á đơn gửi chậm vcl 😤 😡,3,2025-08-10 00:39:29,9
bill hiển thị ảo ma ghê 😂 👎,4,2025-07-21 00:39:29,19
</i>đợi in hđ lâu vch 👎 hết nấc 👍</div>,3,2025-07-01 00:39:29,23
<span>thanhtoan xog mà hđ k thấy j hết 😑</span>,4,2025-08-23 00:39:29,11
th4nh t0án l0i fnjskf 😡 xịn xò,2,2025-06-28 00:39:29,37
ko th4y hoá đơn gửi về mail 😒 hơi lú 👍,1,2025-08-24 00:39:29,49
"quẹt thẻ mà báo lỗi, phèn vc hết nấc 💔",3,2025-07-31 00:39:29,24
<i>ko th4y hoá đơn gửi về mail 😒 hết nấc 😂<b> fnjskf,1,2025-08-02 00:39:29,26
"bill k rõ ràng, chưa đủ wow luôn 🔥",2,2025-07-13 00:39:29,18
th4nh t0án l0i fnjskf 😡 chill 👍,2,2025-07-07 00:39:29,5
"qr c0de ko scan đc, hơi lú",3,2025-07-06 00:39:29,37
bill hiển thị ảo ma ghê 😂 hơi lú 😤,2,2025-07-18 00:39:29,29
h0á đơn gửi chậm vcl 😤 😂,3,2025-07-06 00:39:29,25
<br>ko th4y hoá đơn gửi về mail 😒 💀</div> fnjskf,4,2025-07-19 00:39:29,7
ko th4y hoá đơn gửi về mail 😒 👎,4,2025-07-16 00:39:29,47
t4j kh0an trừ tiền 2 lần 😭 phèn ✨,3,2025-08-15 00:39:29,29
bill hiển thị ảo ma ghê 😂 hết nấc ✨,5,2025-07-06 00:39:29,7
<div>đợi in hđ lâu vch 👎 hết nấc 😡<br> fnjskf,3,2025-07-13 00:39:29,33
</span>bill hiển thị ảo ma ghê 😂 hết nấc</span>,3,2025-07-06 00:39:29,16
<i>ko th4y hoá đơn gửi về mail 😒 😤<span>,1,2025-06-29 00:39:29,21
thanhtoan xog mà hđ k thấy j hết 😑 ảo ma 👎,3,2025-08-13 00:39:29,34
bill hiển thị ảo ma ghê 😂 hết nấc 💀,5,2025-08-22 00:39:29,50
"<div>qr c0de ko scan đc, hơi lú ảo ma<b>",4,2025-07-19 00:39:29,26
"<b>bill k rõ ràng, chưa đủ wow luôn xịn xò 💀<b>",4,2025-07-19 00:39:29,13
<span>t4j kh0an trừ tiền 2 lần 😭 chill 😂<span>,3,2025-07-30 00:39:29,31
bill hiển thị ảo ma ghê 😂 ảo ma 🔥,4,2025-08-07 00:39:29,16
bill hiển thị ảo ma ghê 😂 🔥,3,2025-08-03 00:39:29,6
"qr c0de ko scan đc, hơi lú hết nấc",3,2025-07-24 00:39:29,33
"qr c0de ko scan đc, hơi lú",2,2025-08-06 00:39:29,48
"bill k rõ ràng, chưa đủ wow luôn phèn fnjskf",4,2025-08-12 00:39:29,18
thanhtoan xog mà hđ k thấy j hết 😑 ✨,3,2025-07-23 00:39:29,48
"quẹt thẻ mà báo lỗi, phèn vc chill 😢",2,2025-08-19 00:39:29,47
"<div>qr c0de ko scan đc, hơi lú<i>",2,2025-08-22 00:39:29,32
h0á đơn gửi chậm vcl 😤 căng đét 💀,3,2025-07-08 00:39:29,7
<b>th4nh t0án l0i fnjskf 😡 ảo ma<b>,2,2025-07-26 00:39:29,32
thanhtoan xog mà hđ k thấy j hết 😑 ngầu lòi,4,2025-07-15 00:39:29,16
"</div>qr c0de ko scan đc, hơi lú<div> fnjskf",1,2025-08-18 00:39:29,18
"quẹt thẻ mà báo lỗi, phèn vc hết nấc",1,2025-07-03 00:39:29,24
t4j kh0an trừ tiền 2 lần 😭 💀,4,2025-07-19 00:39:29,33
"bill k rõ ràng, chưa đủ wow luôn 💔",1,2025-07-19 00:39:29,26
"</span>qr c0de ko scan đc, hơi lú 💀</i>",4,2025-07-03 00:39:29,27
đợi in hđ lâu vch 👎 ngầu lòi,4,2025-08-06 00:39:29,18
</div>đợi in hđ lâu vch 👎 ngầu lòi 👍<b> fnjskf,2,2025-07-31 00:39:29,18
"quẹt thẻ mà báo lỗi, phèn vc phèn ✨",1,2025-08-09 00:39:29,22
"qr c0de ko scan đc, hơi lú 😢 fnjskf",3,2025-07-24 00:39:29,34
th4nh t0án l0i fnjskf 😡 căng đét 👎,3,2025-08-08 00:39:29,33
ko th4y hoá đơn gửi về mail 😒 ✨,5,2025-07-18 00:39:29,23
"qr c0de ko scan đc, hơi lú 💔",1,2025-07-28 00:39:29,25
<b>h0á đơn gửi chậm vcl 😤 💀</div> fnjskf,4,2025-07-31 00:39:29,12
thanhtoan xog mà hđ k thấy j hết 😑 👍,4,2025-08-03 00:39:29,45
"bill k rõ ràng, chưa đủ wow luôn",2,2025-08-22 00:39:29,14
<i>thanhtoan xog mà hđ k thấy j hết 😑 phèn 🔥<br>,1,2025-08-05 00:39:29,4
t4j kh0an trừ tiền 2 lần 😭 hơi lú 😂,1,2025-07-31 00:39:29,2
"quẹt thẻ mà báo lỗi, phèn vc phèn 👎",3,2025-08-04 00:39:29,39
ko th4y hoá đơn gửi về mail 😒 căng đét 😤,5,2025-07-14 00:39:29,23
<div>t4j kh0an trừ tiền 2 lần 😭 chill<b>,4,2025-07-06 00:39:29,48
t4j kh0an trừ tiền 2 lần 😭 căng đét,2,2025-07-06 00:39:29,15
"</div>bill k rõ ràng, chưa đủ wow luôn phèn 🔥<i> fnjskf",5,2025-08-06 00:39:29,2
h0á đơn gửi chậm vcl 😤 hết nấc,3,2025-08-02 00:39:29,19
t4j kh0an trừ tiền 2 lần 😭 👎,1,2025-08-21 00:39:29,35
